Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
2020-08-04,11.41,11.7,11.32,11.57,11.57,1915500,1.0185
2020-08-03,11.25,11.635,11.223,11.51,11.51,3437600,1.0026
2020-07-31,11.41,11.42,10.99,11.27,11.27,3848500,1.0135
2020-07-30,11.3,11.43,11.08,11.36,11.36,2919100,0.9895
2020-07-29,11.29,11.54,11.26,11.48,11.48,2558500,1.0079
2020-07-28,11.42,11.46,11.12,11.12,11.12,2713200,0.9636
2020-07-27,11.49,11.49,11.14,11.48,11.48,3212200,0.9812
2020-07-24,11.36,11.55,11.19,11.39,11.39,4355300,0.9879
2020-07-23,11.65,11.95,11.372,11.54,11.54,4896300,0.9788
2020-07-22,11.55,11.88,11.535,11.7,11.7,3629300,1.013
2020-07-21,11.94,11.99,11.49,11.53,11.53,4318900,1.0044
2020-07-20,11.55,11.815,11.354,11.79,11.79,3262400,1.019
2020-07-17,11.54,11.65,11.33,11.55,11.55,2725800,0.9991
2020-07-16,11.35,11.73,11.245,11.48,11.48,4797700,1.0115
2020-07-15,11.58,11.63,11.39,11.57,11.57,4085500,0.9331
2020-07-14,11.21,11.61,10.97,11.56,11.56,5627300,0.9414
2020-07-13,12.45,12.56,11.34,11.35,11.35,8332700,0.908
2020-07-10,12.24,12.66,12.206,12.4,12.4,5813800,1.0464
2020-07-09,12.6,12.68,11.912,12.28,12.28,5053200,1.0319
2020-07-08,11.91,12.52,11.9,12.5,12.5,7885800,1.0187
2020-07-07,11.81,12.32,11.78,11.85,11.85,5019100,0.9572
2020-07-06,12.45,12.53,11.76,11.9,11.9,7576800,0.9355
2020-07-02,12.53,12.74,12.22,12.27,12.27,5367400,0.9468
2020-07-01,12.7,12.819,12.315,12.38,12.38,5519300,0.9043
2020-06-30,12.87,12.98,12.55,12.72,12.72,8050700,0.9695
2020-06-29,13.5,13.58,12.73,12.96,12.96,7679000,1.0773
2020-06-26,13.13,13.79,12.835,13.69,13.69,18465400,1.0814
2020-06-25,12.04,13.15,12.01,13.12,13.12,13429100,1.038
2020-06-24,12.56,12.67,11.84,12.03,12.03,7682900,0.9391
2020-06-23,12.7,13.09,12.65,12.66,12.66,5839700,0.9234
2020-06-22,12.86,12.92,12.47,12.64,12.64,6644400,1.0
2020-06-19,13.77,13.85,12.785,12.81,12.81,26340600,1.0449
2020-06-18,12.8,13.93,12.68,13.71,13.71,21562800,1.0778
2020-06-17,12.41,12.975,12.31,12.64,12.64,8243100,1.0897
2020-06-16,12.82,12.94,11.975,12.26,12.26,12902500,1.1025
2020-06-15,11.3,12.92,11.23,12.72,12.72,17180900,1.0798
2020-06-12,11.46,11.85,11.185,11.6,11.6,7957400,0.9667
2020-06-11,11.26,11.64,11.01,11.12,11.12,8438700,1.0999
2020-06-10,12.11,12.29,11.5,11.78,11.78,15003300,1.1947
2020-06-09,9.87,12.4,9.68,12.0,12.0,44039400,1.1111
2020-06-08,9.92,10.4,9.81,10.11,10.11,7603700,0.8153
2020-06-05,10.67,10.79,9.81,9.86,9.86,13883600,0.8772
2020-06-04,10.94,11.5,10.705,10.8,10.8,18680600,0.9854
2020-06-03,11.8,12.5,11.55,12.4,12.4,21942700,1.2098
2020-06-02,11.47,11.48,10.61,11.24,11.24,11391500,1.1469
2020-06-01,10.5,11.245,10.34,10.96,10.96,11769100,1.1172
2020-05-29,9.9,10.3,9.81,10.25,10.25,4594800,1.0502
2020-05-28,9.9,10.14,9.73,9.8,9.8,2737200,1.0166
2020-05-27,9.9,9.91,9.259,9.81,9.81,3424800,1.0315
2020-05-26,10.0,10.04,9.725,9.76,9.76,3030400,1.0394
2020-05-22,9.55,9.655,9.4,9.64,9.64,1852200,1.1145
2020-05-21,9.38,9.58,9.154,9.51,9.51,3227300,1.1045
2020-05-20,8.9,9.43,8.86,9.39,9.39,4354600,1.1179
2020-05-19,8.62,8.957,8.605,8.65,8.65,3433500,1.0908
2020-05-18,8.6,8.78,8.515,8.61,8.61,3545100,1.0643
2020-05-15,7.83,8.47,7.79,8.4,8.4,3862000,1.0084
2020-05-14,7.92,7.98,7.73,7.93,7.93,2880200,0.9297
2020-05-13,8.31,8.336,7.77,8.09,8.09,2667300,0.9385
2020-05-12,8.65,8.73,8.33,8.33,8.33,2753200,0.9917
2020-05-11,8.53,8.67,8.38,8.53,8.53,2462000,1.0757
2020-05-08,8.66,8.68,8.44,8.62,8.62,2706500,1.1094
2020-05-07,8.16,8.47,8.085,8.4,8.4,2839900,1.0895
2020-05-06,7.88,8.03,7.75,7.93,7.93,2023400,1.0051
2020-05-05,7.94,8.02,7.75,7.77,7.77,2070200,0.9384
2020-05-04,7.79,7.96,7.61,7.71,7.71,1800600,0.9245
2020-05-01,8.02,8.095,7.73,7.89,7.89,2622500,0.9887
2020-04-30,8.24,8.61,8.084,8.28,8.28,2652700,1.0615
2020-04-29,8.2,8.475,8.05,8.34,8.34,3940700,1.0651
2020-04-28,7.95,8.09,7.56,7.98,7.98,4069400,1.0337
2020-04-27,7.92,7.99,7.72,7.8,7.8,2617700,1.0091
