Date,Open,High,Low,Close,Adj Close,Volume,3day_before_change
2020-08-04,11.71,11.91,11.51,11.87,11.87,694200,1.044
2020-08-03,11.67,11.969,11.55,11.82,11.82,955600,1.0225
2020-07-31,11.53,11.655,11.15,11.64,11.64,907300,1.0228
2020-07-30,11.4,11.465,11.065,11.37,11.37,802300,0.9685
2020-07-29,11.41,11.593,11.35,11.56,11.56,704800,1.0035
2020-07-28,11.67,11.708,11.37,11.38,11.38,620600,0.9587
2020-07-27,11.56,11.78,11.48,11.74,11.74,497300,0.9882
2020-07-24,11.77,11.829,11.36,11.52,11.52,726900,0.9664
2020-07-23,11.85,12.05,11.67,11.87,11.87,1164600,0.977
2020-07-22,11.92,12.1,11.73,11.88,11.88,661300,1.0059
2020-07-21,12.41,12.41,11.86,11.92,11.92,841000,1.0093
2020-07-20,11.81,12.27,11.73,12.15,12.15,1106900,1.0091
2020-07-17,11.79,11.93,11.625,11.81,11.81,864000,1.0137
2020-07-16,11.88,11.99,11.565,11.81,11.81,1022100,1.0129
2020-07-15,11.8,12.11,11.79,12.04,12.04,1190700,0.9686
2020-07-14,11.53,11.66,11.055,11.65,11.65,1268300,0.9073
2020-07-13,12.5,12.53,11.63,11.66,11.66,1690100,0.9196
2020-07-10,12.8,12.8,12.39,12.43,12.43,992600,0.9842
2020-07-09,12.78,12.94,12.61,12.84,12.84,1298000,1.0086
2020-07-08,12.75,12.845,12.409,12.68,12.68,1452500,0.9875
2020-07-07,12.68,12.99,12.57,12.63,12.63,1108300,0.9783
2020-07-06,12.85,13.28,12.6,12.73,12.73,1337700,0.9984
2020-07-02,13.11,13.2,12.78,12.84,12.84,882400,1.0239
2020-07-01,12.17,13.04,12.05,12.91,12.91,2303400,0.9954
2020-06-30,12.54,12.79,12.44,12.75,12.75,1083600,0.9711
2020-06-29,13.05,13.13,12.34,12.54,12.54,1690900,0.9805
2020-06-26,13.19,13.21,12.67,12.97,12.97,3107400,0.9723
2020-06-25,12.74,13.15,12.567,13.13,13.13,1190600,0.9719
2020-06-24,13.17,13.29,12.7,12.79,12.79,1632100,0.9831
2020-06-23,13.64,13.64,13.29,13.34,13.34,1722300,0.9867
2020-06-22,13.07,13.523,13.02,13.51,13.51,1718800,1.0067
2020-06-19,13.6,13.6,13.0,13.01,13.01,3572100,0.9767
2020-06-18,13.39,13.55,13.22,13.52,13.52,1639600,1.0015
2020-06-17,13.37,13.515,13.2,13.42,13.42,2144500,1.0805
2020-06-16,14.0,14.04,12.61,13.32,13.32,4203600,1.1298
2020-06-15,12.68,13.5,12.54,13.5,13.5,4995500,1.0547
2020-06-12,12.14,12.64,12.11,12.42,12.42,2518700,1.0
2020-06-11,12.33,12.8,11.725,11.79,11.79,2145200,0.9624
2020-06-10,12.51,13.45,12.5,12.8,12.8,2880600,1.0039
2020-06-09,12.2,12.59,12.14,12.42,12.42,1542000,0.9795
2020-06-08,12.85,12.9,12.03,12.25,12.25,2554600,0.973
2020-06-05,12.83,13.57,12.52,12.75,12.75,2699400,1.0599
2020-06-04,15.11,15.11,12.5,12.68,12.68,11737300,1.0343
